                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0206,                 3.6524,                 1.7018,                0.44374,                0.11221,                0.03259,                0.02056,                 1.4143,                 11.989,                  1.318,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.2392,                 2.1698,                 1.2952,                0.08988,                0.07243,                0.02869,                 0.0173,                 1.4946,                 55.616,                 1.7129,              0.0001546,              0.0001546,              0.0001546
                      3,                 1.0415,                 1.8938,                 1.2369,                0.12071,                 0.1996,                0.07157,                0.04177,                 1.4421,                 21.885,                 1.3222,             0.00023491,             0.00023491,             0.00023491
                      4,                0.98284,                  1.629,                 1.1584,                0.39958,                0.75734,                0.54783,                0.35798,                 1.2422,                 5.2425,                 1.2575,              0.0003124,              0.0003124,              0.0003124
                      5,                 1.0288,                 1.5658,                 1.1658,                0.32648,                0.62219,                0.40538,                0.31456,                 1.2923,                 11.138,                 1.2672,             0.00038706,             0.00038706,             0.00038706
                      6,                 1.0203,                 1.3875,                 1.1623,                 0.2335,                 0.6566,                0.37901,                0.21276,                 1.6375,                 5.3155,                 1.4643,             0.00045889,             0.00045889,             0.00045889
                      7,                 1.1095,                 1.5091,                 1.1987,                0.48975,                0.68972,                0.53562,                0.23402,                 1.4663,                 5.0255,                 1.4922,             0.00052789,             0.00052789,             0.00052789
                      8,                 1.0109,                 1.3331,                 1.1414,                0.09337,                0.38515,                0.08438,                0.04671,                 1.4958,                 54.568,                 1.6766,             0.00059406,             0.00059406,             0.00059406
                      9,                 1.1239,                 1.4818,                 1.2429,                0.04121,                 0.2173,                0.03317,                 0.0191,                 2.1264,                  246.5,                  2.236,              0.0006574,              0.0006574,              0.0006574
                     10,                 1.0987,                 1.3986,                 1.1987,                0.23122,                0.44257,                0.19827,                0.09477,                 2.0238,                 73.811,                  2.082,             0.00071791,             0.00071791,             0.00071791
                     11,                 1.0239,                 1.2122,                 1.1744,                0.46723,                  0.341,                0.12415,                0.05592,                   1.96,                 34.236,                 2.1989,             0.00077559,             0.00077559,             0.00077559
                     12,                0.99104,                 1.1728,                 1.1583,                0.28931,                0.55351,                0.23408,                0.10613,                 2.2837,                 46.509,                 2.0718,             0.00083044,             0.00083044,             0.00083044
                     13,                 1.0153,                 1.1364,                 1.1735,                0.29769,                  0.627,                0.36518,                0.19621,                 1.8731,                 10.757,                  1.971,             0.00088246,             0.00088246,             0.00088246
                     14,                 1.0002,                 1.1942,                 1.1723,                0.37133,                0.60354,                0.42132,                0.15178,                 2.1659,                 18.583,                  2.037,             0.00093166,             0.00093166,             0.00093166
