                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87674,                 1.0371,                 1.0737,                0.71344,                0.71848,                0.74031,                0.55055,                 1.3546,                  1.779,                 1.3331,             0.00096215,             0.00096215,             0.00096215
                     36,                0.86789,                 1.1097,                 1.0843,                0.65177,                0.74904,                0.76158,                0.58411,                 1.2967,                 1.6844,                 1.3478,               0.000948,               0.000948,               0.000948
                     37,                0.84145,                 1.0571,                 1.0688,                0.65564,                0.75496,                0.77531,                0.60094,                 1.2636,                 1.6446,                 1.3339,             0.00093385,             0.00093385,             0.00093385
                     38,                0.78553,                 1.0061,                 1.0288,                0.76502,                0.78372,                0.79314,                0.61173,                 1.2428,                 1.5522,                 1.2762,              0.0009197,              0.0009197,              0.0009197
                     39,                0.85023,                 1.0272,                 1.0825,                0.77191,                0.75593,                0.79429,                0.61388,                 1.2386,                 1.6089,                 1.2841,             0.00090556,             0.00090556,             0.00090556
                     40,                0.79681,                 0.9497,                 1.0376,                0.60108,                 0.8358,                0.70295,                0.52041,                 1.2133,                 1.6254,                 1.2707,             0.00089141,             0.00089141,             0.00089141
                     41,                0.78301,                0.95271,                 1.0512,                0.62608,                0.84638,                0.71069,                0.52576,                 1.2089,                 1.6054,                 1.2952,             0.00087726,             0.00087726,             0.00087726
                     42,                0.77573,                0.90985,                 1.0372,                0.78727,                0.73588,                0.77631,                0.59366,                 1.2332,                 1.5976,                 1.3299,             0.00086312,             0.00086312,             0.00086312
                     43,                0.76835,                0.92706,                 1.0422,                0.83937,                0.71997,                0.77453,                0.56926,                 1.2217,                 1.5252,                 1.3425,             0.00084897,             0.00084897,             0.00084897
                     44,                 0.7642,                0.87137,                 1.0253,                0.76435,                0.73508,                0.77778,                0.59322,                 1.1807,                 1.4458,                 1.2802,             0.00083482,             0.00083482,             0.00083482
                     45,                0.75887,                0.90121,                 1.0343,                0.69228,                0.75806,                0.75508,                0.58741,                  1.184,                 1.5135,                 1.2684,             0.00082067,             0.00082067,             0.00082067
                     46,                0.79553,                0.91815,                 1.0661,                0.62208,                0.77053,                0.72309,                0.54529,                 1.1792,                  1.502,                 1.2723,             0.00080653,             0.00080653,             0.00080653
                     47,                0.78273,                 0.9235,                 1.0403,                0.67444,                0.79878,                0.77311,                0.59231,                 1.1207,                 1.3977,                  1.213,             0.00079238,             0.00079238,             0.00079238
                     48,                0.78725,                0.93006,                 1.0415,                 0.7031,                0.77287,                0.80435,                0.64705,                  1.092,                 1.3217,                 1.2118,             0.00077823,             0.00077823,             0.00077823
                     49,                0.76653,                0.93254,                 1.0301,                 0.7892,                0.71338,                0.79784,                0.63371,                 1.1381,                 1.3935,                 1.2413,             0.00076409,             0.00076409,             0.00076409
                     50,                0.73592,                0.90044,                 1.0307,                0.76952,                0.75948,                0.78859,                0.63395,                 1.1451,                 1.4648,                 1.2349,             0.00074994,             0.00074994,             0.00074994
                     51,                0.75897,                0.88214,                 1.0253,                0.81072,                0.77577,                0.81819,                0.65681,                 1.0876,                 1.4177,                 1.2042,             0.00073579,             0.00073579,             0.00073579
                     52,                0.70218,                 0.7956,                 1.0018,                0.83461,                 0.7661,                0.83836,                0.65557,                  1.084,                 1.3559,                 1.1907,             0.00072164,             0.00072164,             0.00072164
                     53,                0.75184,                0.83849,                  1.016,                0.83722,                0.74133,                0.84481,                0.66502,                 1.0851,                 1.3112,                 1.1906,              0.0007075,              0.0007075,              0.0007075
                     54,                0.73621,                0.84626,                 1.0119,                0.71401,                0.71832,                0.81365,                0.63654,                 1.1083,                 1.3601,                 1.2298,             0.00069335,             0.00069335,             0.00069335
                     55,                0.70085,                0.77466,                0.98424,                0.63897,                0.76926,                0.79494,                0.63333,                 1.1009,                  1.392,                 1.2134,              0.0006792,              0.0006792,              0.0006792
                     56,                0.71187,                0.78417,                0.97894,                0.75336,                0.67123,                0.80317,                0.63363,                 1.0988,                 1.4162,                 1.1987,             0.00066506,             0.00066506,             0.00066506
                     57,                0.73599,                0.81923,                 1.0084,                0.72499,                 0.7183,                0.81893,                0.64272,                 1.0635,                 1.4281,                 1.2012,             0.00065091,             0.00065091,             0.00065091
                     58,                0.75331,                0.88378,                 1.0244,                0.71253,                0.76701,                0.82892,                0.67543,                 1.0178,                 1.3752,                 1.1563,             0.00063676,             0.00063676,             0.00063676
                     59,                 0.7147,                0.77472,                 1.0063,                0.79675,                 0.7153,                0.83257,                0.67088,                 1.0198,                 1.3712,                 1.1437,             0.00062262,             0.00062262,             0.00062262
                     60,                0.68021,                0.80736,                 1.0045,                0.71776,                0.80053,                0.83661,                0.65292,                 1.0776,                 1.3115,                 1.1742,             0.00060847,             0.00060847,             0.00060847
                     61,                0.66274,                 0.7304,                0.98906,                0.74547,                0.75873,                0.83594,                0.68323,                  1.074,                 1.2949,                 1.1814,             0.00059432,             0.00059432,             0.00059432
                     62,                0.66324,                0.73032,                0.99888,                0.74366,                0.83387,                 0.8651,                  0.697,                  1.083,                 1.2308,                 1.1712,             0.00058017,             0.00058017,             0.00058017
                     63,                0.65249,                0.68636,                0.96968,                0.78053,                0.83294,                0.86487,                0.69597,                 1.0871,                 1.2162,                 1.1738,             0.00056603,             0.00056603,             0.00056603
                     64,                0.69531,                0.79246,                 1.0033,                0.78053,                0.82256,                0.85415,                0.70037,                 1.0934,                 1.2658,                 1.1819,             0.00055188,             0.00055188,             0.00055188
                     65,                0.63717,                0.70162,                0.96295,                 0.7605,                0.84782,                  0.846,                0.69809,                 1.0531,                 1.2403,                 1.1664,             0.00053773,             0.00053773,             0.00053773
                     66,                0.69048,                0.78867,                0.99178,                0.75354,                0.83448,                0.83681,                0.70496,                   1.03,                 1.2309,                 1.1667,             0.00052359,             0.00052359,             0.00052359
                     67,                0.68127,                0.75713,                0.97941,                  0.777,                0.82669,                0.83519,                0.70013,                 1.0095,                 1.2299,                 1.1451,             0.00050944,             0.00050944,             0.00050944
                     68,                0.66891,                0.69979,                0.97853,                0.79219,                 0.8212,                0.84019,                0.68822,                 1.0478,                 1.2531,                 1.1635,             0.00049529,             0.00049529,             0.00049529
                     69,                0.73665,                0.73398,                 0.9948,                0.78712,                0.82339,                 0.8419,                0.70482,                 1.0419,                 1.2447,                 1.1788,             0.00048114,             0.00048114,             0.00048114
                     70,                0.64143,                0.68986,                0.98522,                0.77414,                0.81281,                0.83865,                 0.7013,                 1.0554,                 1.2328,                 1.1931,               0.000467,               0.000467,               0.000467
                     71,                0.66288,                0.66832,                0.98549,                0.75511,                0.79152,                0.83388,                0.69719,                 1.0552,                 1.2358,                   1.19,             0.00045285,             0.00045285,             0.00045285
                     72,                0.65851,                0.68977,                0.97553,                0.73843,                0.80131,                0.84229,                0.70319,                 1.0456,                 1.2267,                 1.1652,              0.0004387,              0.0004387,              0.0004387
                     73,                0.61426,                0.72034,                0.96989,                0.79583,                0.75716,                 0.8447,                0.70597,                  1.032,                 1.2012,                 1.1568,             0.00042456,             0.00042456,             0.00042456
                     74,                0.67656,                0.72489,                0.99186,                0.73389,                0.80491,                0.83852,                 0.7104,                 1.0275,                 1.2339,                 1.1667,             0.00041041,             0.00041041,             0.00041041
                     75,                0.60119,                0.66896,                 0.9649,                0.76859,                0.79502,                0.83923,                0.71337,                 1.0253,                 1.2226,                 1.1721,             0.00039626,             0.00039626,             0.00039626
                     76,                0.65756,                0.69814,                0.97333,                0.74839,                 0.8216,                0.83528,                0.70927,                 1.0192,                  1.221,                 1.1771,             0.00038211,             0.00038211,             0.00038211
                     77,                0.64334,                0.68253,                0.97344,                0.74187,                0.83397,                0.83504,                0.70575,                  1.023,                 1.2063,                 1.1818,             0.00036797,             0.00036797,             0.00036797
                     78,                0.59141,                0.66423,                 0.9606,                0.79496,                0.79693,                0.84629,                0.71627,                 1.0149,                 1.1609,                 1.1781,             0.00035382,             0.00035382,             0.00035382
                     79,                0.57971,                0.62211,                 0.9358,                0.82433,                0.78591,                0.85058,                0.70381,                 1.0171,                 1.1403,                 1.1767,             0.00033967,             0.00033967,             0.00033967
                     80,                0.62708,                0.67474,                0.97912,                0.76273,                0.81898,                0.84813,                0.70088,                 1.0379,                 1.1449,                 1.1954,             0.00032553,             0.00032553,             0.00032553
                     81,                0.63596,                0.69361,                0.97774,                0.76609,                 0.8207,                0.84759,                0.71676,                  1.024,                 1.1572,                 1.1885,             0.00031138,             0.00031138,             0.00031138
                     82,                 0.6309,                0.66335,                0.96513,                0.82992,                0.76034,                0.84714,                0.71345,                 1.0058,                 1.1757,                  1.163,             0.00029723,             0.00029723,             0.00029723
                     83,                0.61364,                0.65716,                0.96554,                0.83113,                0.78009,                0.84694,                0.71567,                 1.0057,                 1.1768,                 1.1522,             0.00028308,             0.00028308,             0.00028308
                     84,                0.59636,                0.66969,                0.96513,                0.77661,                0.80751,                0.84343,                0.71013,                 1.0223,                 1.1889,                 1.1546,             0.00026894,             0.00026894,             0.00026894
                     85,                0.58122,                0.62087,                0.95911,                0.77951,                0.82339,                0.84133,                0.71086,                 1.0311,                 1.1831,                 1.1593,             0.00025479,             0.00025479,             0.00025479
                     86,                 0.5749,                0.60348,                0.95681,                0.78075,                0.83913,                0.84954,                0.72155,                 1.0215,                 1.1588,                 1.1594,             0.00024064,             0.00024064,             0.00024064
                     87,                0.58619,                0.61846,                 0.9379,                0.77098,                0.82868,                0.85511,                0.72462,                 1.0158,                 1.1441,                 1.1515,              0.0002265,              0.0002265,              0.0002265
                     88,                0.58503,                0.62415,                0.94295,                0.78731,                0.81933,                0.85686,                0.72648,                 1.0144,                 1.1441,                  1.145,             0.00021235,             0.00021235,             0.00021235
                     89,                0.58531,                0.59933,                0.95655,                0.77957,                0.82515,                0.85441,                0.72382,                 1.0023,                  1.147,                 1.1309,              0.0001982,              0.0001982,              0.0001982
                     90,                0.59368,                0.62306,                0.94396,                0.81249,                0.80223,                0.85113,                 0.7178,                 0.9977,                 1.1453,                  1.124,             0.00018406,             0.00018406,             0.00018406
                     91,                0.68239,                0.88711,                 1.0283,                0.78489,                 0.8041,                0.84743,                0.71903,                 1.0079,                 1.1433,                 1.1251,             0.00016991,             0.00016991,             0.00016991
                     92,                0.64868,                0.78535,                0.98607,                 0.7797,                0.81277,                0.84496,                0.71175,                 1.0455,                 1.1841,                 1.1416,             0.00015576,             0.00015576,             0.00015576
                     93,                0.65174,                0.72846,                0.99445,                0.76798,                0.81281,                0.83605,                0.70873,                 1.0662,                 1.2186,                 1.1578,             0.00014161,             0.00014161,             0.00014161
                     94,                0.61077,                0.67599,                0.96578,                0.81203,                0.77824,                0.83799,                0.70638,                 1.0707,                 1.2462,                 1.1741,             0.00012747,             0.00012747,             0.00012747
                     95,                0.63758,                0.71388,                0.96516,                0.80756,                0.77924,                0.83475,                0.70461,                 1.0607,                 1.2436,                 1.1747,             0.00011332,             0.00011332,             0.00011332
                     96,                0.64672,                0.76377,                0.99903,                0.80938,                0.78427,                0.83886,                0.70907,                 1.0335,                 1.2091,                 1.1556,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.62828,                0.70306,                0.96554,                0.80377,                0.79043,                0.83847,                0.70921,                 1.0223,                 1.1857,                 1.1509,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.60602,                0.65738,                0.98693,                0.79817,                0.79343,                0.84343,                0.71316,                 1.0052,                 1.1572,                 1.1376,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.60239,                0.63822,                0.97461,                0.79753,                0.80166,                0.84502,                0.71683,                0.99298,                 1.1516,                 1.1323,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.59517,                0.65185,                0.96587,                0.76992,                0.82078,                0.84515,                0.71713,                0.98353,                 1.1547,                 1.1307,             4.2584e-05,             4.2584e-05,             4.2584e-05
