                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1037,                 3.6594,                 1.7909,                0.00507,                0.62762,                0.04524,                0.02383,                 1.2935,                 3.6512,                 1.2841,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.5994,                 3.2767,                 1.4593,                0.00603,                0.71155,                0.10669,                0.06987,                 1.5623,                  3.648,                 1.3993,             0.00015408,             0.00015408,             0.00015408
                      3,                 1.3318,                  2.698,                 1.3654,                0.00538,                0.67889,                0.13275,                0.08516,                 1.5083,                 3.5634,                 1.3946,             0.00023331,             0.00023331,             0.00023331
                      4,                 1.2558,                 2.3641,                 1.3042,                0.00539,                0.65152,                0.09743,                0.05906,                 1.4585,                 3.5431,                 1.3775,             0.00030915,             0.00030915,             0.00030915
                      5,                 1.2634,                 2.2132,                 1.2894,                 0.0075,                0.67178,                 0.0701,                0.03808,                 1.5267,                 3.5227,                 1.3895,             0.00038159,             0.00038159,             0.00038159
                      6,                  1.154,                 2.0266,                  1.239,                0.15374,                 0.1653,                0.07533,                0.03953,                 1.4195,                 3.2829,                  1.362,             0.00045064,             0.00045064,             0.00045064
                      7,                 1.1374,                 2.0011,                 1.2062,                0.22658,                0.19449,                0.09187,                0.04807,                 1.3876,                 3.1218,                 1.3754,             0.00051629,             0.00051629,             0.00051629
                      8,                 1.0603,                 1.7304,                  1.172,                 0.0811,                 0.2069,                0.22519,                0.12811,                 1.4007,                 2.9516,                 1.4492,             0.00057854,             0.00057854,             0.00057854
                      9,                 1.1006,                 1.7203,                 1.2144,                0.24128,                0.25628,                 0.2802,                0.16663,                 1.3227,                 2.8868,                 1.3812,              0.0006374,              0.0006374,              0.0006374
                     10,                 1.0679,                 1.6902,                 1.2055,                0.31228,                0.25667,                0.25651,                0.15577,                 1.4561,                 2.8633,                 1.4388,             0.00069287,             0.00069287,             0.00069287
                     11,                  1.012,                 1.5643,                 1.1541,                0.28624,                0.32604,                0.30377,                0.16648,                 1.5647,                 2.7202,                 1.5283,             0.00074494,             0.00074494,             0.00074494
                     12,                0.96722,                 1.5388,                 1.1441,                0.29768,                0.32512,                0.46888,                0.25563,                 1.7085,                 2.7355,                 1.6862,             0.00079361,             0.00079361,             0.00079361
                     13,                0.96449,                 1.4228,                 1.1504,                0.21056,                0.38325,                0.51987,                0.29182,                 1.4991,                 2.4489,                 1.5509,             0.00083889,             0.00083889,             0.00083889
                     14,                  1.001,                 1.4687,                 1.1672,                0.41242,                0.74133,                0.48211,                0.29377,                 1.3476,                 2.2861,                 1.4525,             0.00088078,             0.00088078,             0.00088078
                     15,                0.93353,                 1.4053,                 1.1524,                0.47214,                0.72033,                0.51534,                0.26567,                 1.3812,                 2.2316,                 1.3945,             0.00091926,             0.00091926,             0.00091926
                     16,                0.96493,                  1.419,                 1.1411,                 0.4932,                0.66103,                0.51031,                0.27289,                 1.4208,                 2.2713,                 1.4165,             0.00095436,             0.00095436,             0.00095436
                     17,                0.93638,                 1.3647,                 1.1179,                 0.5652,                0.62793,                0.57256,                0.31269,                 1.4529,                 2.1314,                 1.4627,             0.00097629,             0.00097629,             0.00097629
                     18,                0.98487,                 1.2944,                 1.1406,                0.66418,                0.61813,                0.64261,                0.47216,                 1.3408,                 2.0622,                 1.3846,             0.00097629,             0.00097629,             0.00097629
                     19,                0.96982,                 1.4253,                 1.1381,                0.59898,                0.61777,                 0.6543,                0.53137,                 1.2738,                 2.0492,                 1.3684,               0.000948,               0.000948,               0.000948
                     20,                0.92817,                 1.2839,                 1.1058,                0.70055,                0.64371,                0.65765,                0.53942,                 1.3216,                 2.1215,                 1.3027,              0.0009197,              0.0009197,              0.0009197
                     21,                0.97468,                 1.3908,                 1.1481,                0.57619,                0.73161,                0.68773,                0.52889,                 1.2356,                 2.0609,                 1.2596,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.0207,                 1.3269,                 1.1698,                0.55292,                0.74163,                0.70533,                0.56041,                 1.2221,                 1.8987,                 1.2497,             0.00086312,             0.00086312,             0.00086312
                     23,                0.95128,                 1.2202,                 1.1437,                0.61334,                0.72803,                0.72513,                0.57206,                 1.2199,                 1.9267,                 1.2744,             0.00083482,             0.00083482,             0.00083482
                     24,                0.84722,                  1.151,                 1.0817,                0.69185,                0.72881,                   0.73,                0.56995,                 1.2963,                 1.9396,                 1.3153,             0.00080653,             0.00080653,             0.00080653
                     25,                0.91913,                 1.2333,                  1.077,                0.50218,                0.84018,                0.68898,                 0.5344,                 1.2415,                 1.8689,                 1.3053,             0.00077823,             0.00077823,             0.00077823
                     26,                0.82273,                 1.0474,                 1.0598,                0.73224,                0.45393,                 0.4955,                0.33945,                 1.2567,                 1.9573,                  1.308,             0.00074994,             0.00074994,             0.00074994
                     27,                0.81777,                 1.1124,                 1.0625,                0.74491,                0.40387,                0.51104,                0.36502,                 1.2639,                 2.0565,                   1.32,             0.00072164,             0.00072164,             0.00072164
                     28,                0.86077,                 1.0934,                 1.0844,                0.71224,                0.71782,                0.73518,                0.59619,                 1.2198,                 1.8914,                 1.2784,             0.00069335,             0.00069335,             0.00069335
                     29,                0.80275,                 1.0872,                 1.0656,                0.75055,                0.79164,                0.76847,                0.60853,                 1.1433,                 1.7456,                 1.2554,             0.00066506,             0.00066506,             0.00066506
                     30,                0.84082,                 1.0369,                 1.0548,                0.78904,                0.79557,                 0.7861,                0.61566,                  1.145,                 1.6468,                 1.2226,             0.00063676,             0.00063676,             0.00063676
                     31,                 0.8286,                 1.0581,                 1.0611,                0.81729,                0.78015,                0.80873,                0.64318,                 1.1768,                 1.5168,                 1.2107,             0.00060847,             0.00060847,             0.00060847
                     32,                0.81191,                 1.0558,                 1.0436,                0.79567,                0.81809,                0.83817,                0.66154,                 1.1477,                 1.3767,                 1.2456,             0.00058017,             0.00058017,             0.00058017
                     33,                0.78426,                 1.0268,                 1.0532,                0.76464,                 0.8445,                0.83469,                0.65285,                 1.1761,                 1.3835,                 1.2831,             0.00055188,             0.00055188,             0.00055188
                     34,                0.81021,                 1.0335,                 1.0559,                0.78995,                0.76963,                 0.8065,                0.62677,                 1.1942,                 1.5225,                 1.2802,             0.00052359,             0.00052359,             0.00052359
                     35,                0.80903,                0.99934,                 1.0635,                0.72447,                0.79497,                0.80189,                0.62278,                 1.2021,                 1.5784,                 1.2869,             0.00049529,             0.00049529,             0.00049529
                     36,                 0.7929,                 1.0123,                 1.0583,                0.68083,                0.79822,                0.80584,                0.62495,                 1.2369,                 1.5437,                 1.2904,               0.000467,               0.000467,               0.000467
                     37,                0.75218,                0.97199,                 1.0362,                0.71874,                0.77034,                0.80213,                0.63364,                 1.2328,                 1.5061,                 1.2826,              0.0004387,              0.0004387,              0.0004387
                     38,                0.72323,                0.93048,                0.99341,                0.78443,                0.74244,                0.79837,                0.64608,                 1.2026,                 1.4008,                 1.2433,             0.00041041,             0.00041041,             0.00041041
                     39,                0.81178,                0.99581,                  1.075,                0.77573,                0.77521,                0.79929,                0.64752,                 1.1443,                 1.3349,                 1.1994,             0.00038211,             0.00038211,             0.00038211
                     40,                0.73417,                0.90921,                 1.0188,                0.77728,                0.80559,                0.81722,                0.66234,                 1.0683,                 1.3134,                 1.1645,             0.00035382,             0.00035382,             0.00035382
                     41,                0.82781,                 1.1844,                 1.0729,                 0.7969,                0.80749,                0.82502,                0.67853,                 1.0728,                 1.3104,                 1.1588,             0.00032553,             0.00032553,             0.00032553
                     42,                0.78009,                 1.0535,                 1.0689,                0.80459,                0.79031,                0.83258,                0.67826,                 1.0916,                 1.3998,                 1.1753,             0.00029723,             0.00029723,             0.00029723
                     43,                 0.8227,                 1.1521,                 1.0843,                0.68558,                0.82685,                0.81213,                0.65778,                  1.113,                 1.4412,                 1.2067,             0.00026894,             0.00026894,             0.00026894
                     44,                0.77551,                 1.1195,                 1.0394,                0.68112,                0.83767,                0.81831,                0.65543,                  1.128,                 1.3804,                 1.2463,             0.00024064,             0.00024064,             0.00024064
                     45,                0.73828,                0.98045,                  1.031,                0.69291,                0.82785,                0.82111,                0.66406,                 1.1003,                  1.339,                 1.2157,             0.00021235,             0.00021235,             0.00021235
                     46,                0.77869,                 1.0098,                 1.0583,                0.72226,                0.83671,                0.82415,                0.66078,                 1.1008,                 1.3098,                  1.209,             0.00018406,             0.00018406,             0.00018406
                     47,                0.71308,                0.95328,                 1.0187,                0.72833,                0.82109,                 0.8207,                0.66106,                 1.1096,                 1.3045,                 1.2124,             0.00015576,             0.00015576,             0.00015576
                     48,                0.71315,                0.95796,                 1.0592,                0.72516,                0.82084,                0.83817,                0.66573,                 1.1121,                 1.3103,                 1.2136,             0.00012747,             0.00012747,             0.00012747
                     49,                0.74666,                0.98529,                 1.0704,                  0.744,                0.80437,                0.83999,                0.67016,                 1.1032,                 1.3126,                 1.2106,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.72682,                0.96097,                 1.0379,                0.70132,                0.83353,                0.83971,                0.67201,                 1.0916,                 1.3224,                 1.2049,             7.0878e-05,             7.0878e-05,             7.0878e-05
